class,average_loudness,spectral_spread_var,ZCR_mean,Dissonance_mean,spectral_flux_mean,spectral_centroid_mean,energyband_middle_high_mean,energyband_middle_low_mean
classical,0.094945885199999996,3443583352830.0,0.38022685049999999,0.42984321710000001,0.11420512939999999,443.58581543000003,0.0016967743,0.018871249600000001
electronic,0.85421442989999996,1568068337660.0,0.263481468,0.43591964239999997,0.088345155100000003,669.08599853500004,0.0030307302000000002,0.017925713199999999
hiphop,0.9621548057,2747136737280.0,0.0621973127,0.45848652719999999,0.1126881242,1348.86230469,0.0030751580000000001,0.0103013245
rnb,0.97461611029999995,1963209392130.0,0.062822736800000001,0.47380378839999998,0.093264699000000006,1850.5305175799999,0.0106994649,0.0062253856999999998
jazz,0.56937748190000004,1601874034690.0,0.071582175799999995,0.44599395990000001,0.050437729799999997,1939.5661621100001,0.0064637180999999998,0.0027515055000000002
folk,0.90929162500000005,6036246757380.0,0.066375657899999996,0.432808578,0.056409608600000001,1507.4284668,0.0086704287999999994,0.0093883079999999997
classical,0.018813308300000001,7467422973950.0,0.037626300000000001,0.40922561289999998,0.046520147499999998,869.01916503899997,0.0029647750999999998,0.010175933099999999
electronic,0.95854520799999998,2079824674820.0,0.013715266300000001,0.44334459300000001,0.1029529423,512.61816406299999,0.0016905795,0.017613994000000001
hiphop,0.90288937089999999,84786102140900.0,0.082577899100000005,0.45463117959999999,0.1423035711,1364.4526367200001,0.0032980789000000002,0.014223705999999999
rnb,0.76096165179999997,1038986051580.0,0.0545327663,0.46181210880000001,0.060442272599999999,1405.1176757799999,0.0054520122000000001,0.0059154582999999998
jazz,0.7873877883,19591480737800.0,0.034155994699999997,0.4327392578,0.0626507699,765.18627929700006,0.0019849328999999999,0.0125030056
folk,0.7314845324,18206083252200.0,0.1515451223,0.44983825090000001,0.099408313600000006,946.85278320299994,0.0020220613,0.0125093367
classical,0.48910298940000002,26204583231500.0,0.053439468099999998,0.4372944534,0.046900991400000001,1292.61364746,0.0063259448000000003,0.0111859217
electronic,0.81933897730000005,11658171777000.0,0.044639553899999997,0.43970039490000001,0.082954712200000003,729.95391845699999,0.0022518996000000001,0.0244597215
